Ticker,Entry_Date,Exit_Date,Raw_Entry_Price,Entry_Price,Raw_Exit_Price,Exit_Price,Shares,Allocation,Buy_Fee,Sell_Fee,Slippage_Cost,Total_Costs,Entry_Cost,Net_Proceeds,PnL,Return_pct,Holding_Days,Exit_Reason,Exit_Year
TSLA,2022-01-03,2022-01-04,382.5833435058594,382.7746351776123,383.1966552734375,383.0050569458008,5.222394109454088,2000.0,1.0,1.0001016766424389,1.9996024773813723,3.999704154023811,2000.0,1999.203251608235,-0.7967483917650497,-0.03983741958825249,1,TIME,2022
NVDA,2022-01-03,2022-01-04,29.72110791823675,29.735968472195868,29.1977596282959,29.18316074848175,67.8204268893008,2017.7149332177223,1.0088574666088612,0.9896072099705598,1.997951374419947,3.9964160509993683,2017.7149332177223,1978.224812731149,-39.49012048657323,-1.9571704523986906,1,TIME,2022
AMD,2022-01-03,2022-01-04,145.13999938964844,145.21256938934326,144.4199981689453,144.34778816986085,13.913660585075831,2021.4491277339614,1.0107245638669806,1.0042030654009342,2.014419762522662,4.029347391790576,2021.4491277339614,2007.4019277364673,-14.04719999749409,-0.6949074208580733,1,TIME,2022
TSLA,2022-01-04,2022-01-05,396.51666259765625,396.71492092895505,362.7066650390625,362.525311706543,5.011504520617119,1989.1331862248335,0.9945665931124168,0.9083986192277351,1.9024255693044432,3.8053907816445953,1989.1331862248335,1815.8888398362426,-173.24434638859088,-8.709539792928119,1,TIME,2022
AMD,2022-01-04,2022-01-05,151.00999450683594,151.08549950408934,136.14999389648438,136.08191889953613,13.068078783513943,1975.3849030175052,0.9876924515087526,0.8891646185954467,1.876314675963565,3.753171746067764,1975.3849030175052,1777.4400725722978,-197.94483044520734,-10.020570175606593,1,TIME,2022
NVDA,2022-01-04,2022-01-05,30.18165084016446,30.19674166558454,27.51706886291504,27.503310328483582,64.80127702946531,1957.7663052113473,0.9788831526056737,0.8911248159117096,1.8694753598622498,3.739483328379633,1957.7663052113473,1781.3585070075073,-176.40779820384,-9.010666785625173,1,TIME,2022
TSLA,2022-01-05,2022-01-06,382.2166748046875,382.40778314208984,354.8999938964844,354.72254389953616,4.912750386211792,1879.6137912173058,0.9398068956086529,0.8713316572702379,1.8106350994222529,3.621773652301144,1879.6137912173058,1741.7919828832055,-137.8218083341003,-7.33245355924112,1,TIME,2022
TSLA,2022-01-06,2022-01-07,359.0,359.17949999999996,342.32000732421875,342.1488473205567,5.153755726136127,1852.049429550486,0.926024714775243,0.8816757905345971,1.8072160018000942,3.6149165071099345,1852.049429550486,1762.4699052786596,-89.57952427182636,-4.83677826533865,1,TIME,2022
COP,2022-01-21,2022-01-24,71.73801876249225,71.77388777187349,70.1412353515625,70.10616473388673,25.541551598270356,1834.1335246961205,0.9170667623480603,0.8953101119537047,1.811908144838812,3.6242850191405767,1834.1335246961205,1789.7249137954557,-44.408610900664826,-2.4212310773842076,3,TIME,2022
COP,2022-01-25,2022-01-26,70.22571326253696,70.26082611916821,73.55448913574219,73.51771189117432,25.965239485236026,1825.2518025159873,0.9126259012579937,0.9544524978304627,1.8666436942532807,3.733722093341737,1825.2518025159873,1907.9505431630948,82.69874064710757,4.5308127094088,1,TIME,2022
