Date,Ticker,Episode_ID,Rebound_Date,Prior_Close,Prior_Prior_Close,Prior_High,Daily_Range,Close_Location,Open,High,Low,Close,SMA50,Prior_Distance_SMA50,Prior_Return_10D,Session,Entry_Date,Entry_Open,Future_Return_1D,Future_Return_3D,Future_Return_5D,Exit_Date_1D,Exit_Date_3D,Exit_Date_5D
2018-11-29,AAPL,AAPL:2018-11-28,2018-11-28,45.23500061035156,43.560001373291016,45.3224983215332,1.2750015258789062,0.36274586068443065,45.665000915527344,45.70000076293945,44.42499923706055,44.88750076293945,52.342999954223636,-0.13898938685378048,-0.058731693997095547,230,2018-11-30,45.0724983215332,-0.0094846720215039,-0.0199677795706227,-0.0654500428886329,2018-11-30,2018-12-04,2018-12-07
2018-12-11,AAPL,AAPL:2018-12-10,2018-12-10,42.400001525878906,42.122501373291016,42.522499084472656,1.1974983215332031,0.3402937719206032,42.915000915527344,42.9474983215332,41.75,42.157501220703125,50.691750106811526,-0.16825721577053088,-0.01561313649916829,237,2018-12-12,42.599998474121094,-0.0076290366169758,-0.0288732297251966,-0.025410720230988,2018-12-12,2018-12-14,2018-12-18
2020-03-03,AAPL,AAPL:2020-03-02,2020-03-02,74.70249938964844,68.33999633789062,75.36000061035156,4.5500030517578125,0.1934075368306678,75.9175033569336,76.0,71.44999694824219,72.33000183105469,76.72559951782226,-0.025759771841702972,-0.08044318715637788,544,2020-03-04,74.11000061035156,0.0212521513327608,-0.024996638783843,-0.0374443597763416,2020-03-04,2020-03-06,2020-03-10
2020-03-25,AAPL,AAPL:2020-03-24,2020-03-24,61.720001220703125,56.092498779296875,61.92250061035156,3.487499237060547,0.087455303770289,62.6875,64.5625,61.07500076293945,61.380001068115234,73.93394989013672,-0.16921461889850398,-0.1347865421906539,560,2020-03-26,61.630001068115234,0.0483530665356106,0.0336280753791098,-0.0227567763797019,2020-03-26,2020-03-30,2020-04-01
2021-03-02,AAPL,AAPL:2021-03-01,2021-03-01,127.79000091552734,121.26000213623048,127.93000030517578,3.709999084472642,0.0296497675193358,128.41000366210938,128.72000122070312,125.01000213623048,125.12000274658205,131.92160034179688,-0.0317134808074897,-0.055994640430460874,795,2021-03-03,124.80999755859376,-0.0220334913371741,-0.0271612807944888,-0.0298053144256871,2021-03-03,2021-03-05,2021-03-09
2021-03-10,AAPL,AAPL:2021-03-09,2021-03-09,121.08999633789062,116.36000061035156,122.05999755859376,2.720001220703125,0.19485520986434868,121.69000244140624,122.16999816894533,119.4499969482422,119.9800033569336,130.77440002441406,-0.07574906876648357,-0.03789928690075517,801,2021-03-11,122.54000091552734,-0.0047331632668626,0.0118328459067154,0.018116543203174,2021-03-11,2021-03-15,2021-03-17
2021-05-21,AAPL,AAPL:2021-05-20,2021-05-20,127.30999755859376,124.69000244140624,127.72000122070312,2.7900009155273438,0.07885345824753685,127.81999969482422,128.0,125.20999908447266,125.43000030517578,127.60280014038086,-0.0017517180375485886,-0.01872982759121533,852,2021-05-24,126.01000213623048,0.0086500779256573,0.006666108433063,-0.0111102412677158,2021-05-24,2021-05-26,2021-05-28
2022-03-01,AAPL,AAPL:2022-02-28,2022-02-28,165.1199951171875,164.85000610351562,165.4199981689453,4.6300048828125,0.2656575443591975,164.6999969482422,166.60000610351562,161.97000122070312,163.1999969482422,170.955400390625,-0.035156741530408486,-0.020872890685488255,1047,2022-03-02,164.38999938964844,0.0132003052314748,-0.0074213834493143,-0.0422774923903298,2022-03-02,2022-03-04,2022-03-08
2022-03-03,AAPL,AAPL:2022-03-02,2022-03-02,166.55999755859375,163.1999969482422,167.36000061035156,3.3600006103515625,0.2023787357913906,168.47000122070312,168.91000366210938,165.5500030517578,166.22999572753906,170.79340026855468,-0.025188499767026862,-0.036055303950515594,1049,2022-03-04,164.49000549316406,-0.0080248481982913,-0.0428597654345072,-0.0362940058443321,2022-03-04,2022-03-08,2022-03-10
2022-04-20,AAPL,AAPL:2022-04-19,2022-04-19,167.39999389648438,165.07000732421875,167.82000732421875,2.779998779296875,0.4064712662604973,168.75999450683594,168.8800048828125,166.10000610351562,167.22999572753906,167.4436004638672,-0.000789142180326774,-0.061869583018791086,1082,2022-04-21,168.91000366210938,-0.014741610556975,-0.035699476931866,-0.0730566341267493,2022-04-21,2022-04-25,2022-04-27
