Date,Ticker,Episode_ID,Rebound_Start,Rebound_End,Rebound_Length,Rebound_Low,Open,High,Low,Close,SMA50,Prior_Distance_SMA50,Prior_Return_10D,Session,Entry_Date,Entry_Open,Future_Return_1D,Future_Return_3D,Future_Return_5D,Exit_Date_1D,Exit_Date_3D,Exit_Date_5D
2018-04-02,AAPL,AAPL:2018-03-29:2018-03-29,2018-03-29,2018-03-29,1,41.724998474121094,41.65999984741211,42.23500061035156,41.11750030517578,41.66999816894531,42.839700088500976,-0.022320334913322415,-0.0608452028466675,61,2018-04-03,41.90999984741211,0.0044738726003974,0.0307802653358157,0.014376065801025,2018-04-03,2018-04-05,2018-04-09
2018-04-27,AAPL,AAPL:2018-04-25:2018-04-26,2018-04-25,2018-04-26,2,40.602500915527344,41.0,41.08250045776367,40.157501220703125,40.58000183105469,43.18750030517578,-0.04993317774902373,-0.05696564949876182,80,2018-04-30,40.532501220703125,0.0193054310106619,0.0890643434683386,0.1338431893832787,2018-04-30,2018-05-02,2018-05-04
2018-11-19,AAPL,AAPL:2018-11-15:2018-11-16,2018-11-15,2018-11-16,2,46.724998474121094,47.5,47.67499923706055,46.247501373291016,46.46500015258789,53.9143000793457,-0.10529776496190846,-0.06723538285860198,223,2018-11-20,44.592498779296875,-0.0077927870589177,-0.0340864607136428,-0.0231540603076771,2018-11-20,2018-11-23,2018-11-27
2018-12-04,AAPL,AAPL:2018-12-03:2018-12-03,2018-12-03,2018-12-03,1,45.3025016784668,45.23749923706055,45.59749984741211,44.067501068115234,44.17250061035156,51.751050033569335,-0.11095586254581058,-0.04500589836209867,233,2018-12-06,42.939998626708984,0.0172333884986783,-0.0125756198905464,-0.0154866586422395,2018-12-06,2018-12-10,2018-12-12
2018-12-14,AAPL,AAPL:2018-12-12:2018-12-13,2018-12-12,2018-12-13,2,42.255001068115234,42.25,42.27000045776367,41.31999969482422,41.369998931884766,49.77635009765625,-0.14711442577889267,-0.05521170199165393,240,2018-12-17,41.36249923706055,-0.0091265913247995,-0.027561182488388,-0.0889694862025775,2018-12-17,2018-12-19,2018-12-21
2018-12-19,AAPL,AAPL:2018-12-18:2018-12-18,2018-12-18,2018-12-18,1,41.09749984741211,41.5,41.86249923706055,39.772499084472656,40.22249984741211,48.85060012817383,-0.15554761106068393,-0.10145005549701114,243,2018-12-20,40.099998474121094,-0.0222568092348782,-0.0846009512580605,-0.0264962603598525,2018-12-20,2018-12-24,2018-12-27
2019-01-03,AAPL,AAPL:2018-12-28:2019-01-02,2018-12-28,2019-01-02,3,38.557498931884766,35.994998931884766,36.43000030517578,35.5,35.54750061035156,45.880450134277346,-0.14667451730832448,-0.036720777008726335,252,2019-01-04,36.13249969482422,0.0258077614269887,0.0430360566888352,0.0641389631962607,2019-01-04,2019-01-08,2019-01-10
2019-05-22,AAPL,AAPL:2019-05-21:2019-05-21,2019-05-21,2019-05-21,1,46.17499923706055,46.165000915527344,46.4275016784668,45.63750076293945,45.69499969482422,48.971650009155276,-0.0472261006142497,-0.08015377333093743,348,2019-05-23,44.95000076293945,-0.0007786395287665,-0.0087319649475579,-0.0083426027505028,2019-05-23,2019-05-28,2019-05-30
2019-05-31,AAPL,AAPL:2019-05-30:2019-05-30,2019-05-30,2019-05-30,1,44.16749954223633,44.057498931884766,44.497501373291016,43.747501373291016,43.76750183105469,48.73835006713867,-0.08664897572848351,-0.06610095976441432,354,2019-06-03,43.900001525878906,-0.0130979668098756,0.0395215657254937,0.0828586975355318,2019-06-03,2019-06-05,2019-06-07
2020-02-27,AAPL,AAPL:2020-02-26:2020-02-26,2020-02-26,2020-02-26,1,71.625,70.2750015258789,71.5,68.23999786376953,68.37999725341797,76.61819946289063,-0.045204437329452674,-0.08435278211168173,541,2020-02-28,64.31500244140625,0.0625825039834417,0.1246209917654974,0.138614640085714,2020-02-28,2020-03-03,2020-03-05
